person,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,in_frame_sample,group,contact_traced_covid_cases
10158,1960,Stayed the Same,Stayed the Same,Increased,Increased,Increased,Increasing competition,None of the Above,Lack of awareness,Yes,1 month to less than 3 months,Yes,"First Nations, Metis and/or Inuit",Yes,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,6
10160,1951,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,1,0
10161,2006,Decreased,Increased,Increased,Increased,Decreased,Increasing competition,Regional Relief and Recovery Fund,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
10165,1965,Decreased,Stayed the Same,Stayed the Same,Increased,Decreased,Shortage of space and equipment,Other,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10167,1996,Stayed the Same,Increased,Decreased,Increased,Stayed the Same,Insufficent and/or fluctuating customer demand,"Provincial, Territorial or Municipal Government Programs","NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",No,1,1,4
10168,1968,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Shortage of labour force,CEWS,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
10173,1947,Stayed the Same,Increased,Increased,Increased,Decreased,Other,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
10175,1983,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Other,"Provincial, Territorial or Municipal Government Programs","NA",Yes,Less than 1 month,Yes,Latin American,No,No,"NA","NA",Yes,1,1,5
10178,2001,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,High speed internet,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,1,5
10180,1986,Decreased,Decreased,Stayed the Same,Stayed the Same,Decreased,High speed internet,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
10182,2014,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Government regulations,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,12 months or more,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,6
10183,1946,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Recruiting and training skilled employees,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,12 months or more,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,7
10185,1992,Increased,Increased,Decreased,Increased,Stayed the Same,High speed internet,Other,"NA",Don't Know,Less than 1 month,Yes,Southeast Asian,Yes,Yes,Yes,"NA",Yes,1,1,5
10186,1986,Stayed the Same,Decreased,Decreased,Decreased,Increased,Increasing competition,Other,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
10187,1925,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Recruiting and training skilled employees,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
10195,1969,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Rent expenses,Temporary 10% Wage Subsidy,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
10196,1975,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Government regulations,Regional Relief and Recovery Fund,"NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
10201,1976,Stayed the Same,Increased,Increased,Decreased,Decreased,Cost of delivery and take out,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Less than 1 month,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,6
10203,2019,Increased,Stayed the Same,Decreased,Stayed the Same,Decreased,Rent expenses,Regional Relief and Recovery Fund,"NA",Yes,12 months or more,No,"NA",No,Yes,"No, but our business used to use it",I don't understand how these platforms work,Yes,1,1,6
10208,1919,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Shortage of space and equipment,None of the Above,Waiting for approval or submitting application,No,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,"No, but our business used to use it",I don't trust these platforms,Yes,1,1,2
10210,1951,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,6 months to less than 12 months,Yes,Multiple Visible Minority,No,Yes,Yes,"NA",Yes,1,1,2
10213,2006,Decreased,Stayed the Same,Decreased,Increased,Decreased,Cost of insurance,Financial Institution (Term Loan or Line-of-Credit,"NA",No,6 months to less than 12 months,Yes,Japanese,No,Yes,Yes,"NA",Yes,1,1,9
10219,2016,Stayed the Same,Increased,Decreased,Increased,Increased,Insufficent and/or fluctuating customer demand,Regional Relief and Recovery Fund,"NA",Don't Know,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,1,12
10223,1900,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Cost of insurance,None of the Above,Did not meet eligibility requirements,Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10225,1942,Decreased,Stayed the Same,Increased,Increased,Decreased,Cost of insurance,CEBA,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10228,2012,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Supply chain challenges,Loan from Family or Friends,"NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,2
10229,1909,Stayed the Same,Stayed the Same,Increased,Decreased,Decreased,Rising cost of inputs,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,12 months or more,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,5
10238,1945,Increased,Increased,Decreased,Decreased,Increased,Cost of delivery and take out,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
10239,1941,Stayed the Same,Decreased,Decreased,Increased,Decreased,Increasing competition,CERS,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,0
10241,1934,Stayed the Same,Decreased,Decreased,Stayed the Same,Decreased,Shortage of labour force,CERS,"NA",No,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,1,3
10246,1969,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",No,3 months to less than 6 months,No,"NA",Yes,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,7
10248,1977,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Increased,Shortage of labour force,"Provincial, Territorial or Municipal Government Programs","NA",No,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,2
10249,2019,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Insufficent and/or fluctuating customer demand,Loan from Family or Friends,"NA",Yes,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,1,8
10254,1970,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Shortage of labour force,Regional Relief and Recovery Fund,"NA",No,Less than 1 month,Yes,Black,No,No,"NA","NA",Yes,1,1,8
10256,1945,Increased,Stayed the Same,Decreased,Increased,Decreased,Rent expenses,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,12 months or more,Yes,Multiple Visible Minority,No,Yes,Yes,"NA",Yes,1,1,3
10257,1954,Stayed the Same,Increased,Increased,Increased,Decreased,Supply chain challenges,Regional Relief and Recovery Fund,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,11
10272,1978,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Recruiting and training skilled employees,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,Not considering permanent closure or bankrupcy,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,9
10278,1980,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Insufficent and/or fluctuating customer demand,CERS,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10279,1969,Increased,Stayed the Same,Decreased,Increased,Decreased,Recruiting and training skilled employees,"Provincial, Territorial or Municipal Government Programs","NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
10280,1968,Stayed the Same,Stayed the Same,Increased,Increased,Increased,Government regulations,Other,"NA",Yes,Don't Know,Yes,Black,No,No,"NA","NA",Yes,1,1,11
10281,1988,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Rent expenses,Loan from Family or Friends,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
10287,1962,Stayed the Same,Decreased,Decreased,Increased,Stayed the Same,Maintaining sufficient cash flow or managing debt,CEBA,"NA",No,Don't Know,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,5
10293,1959,Increased,Increased,Decreased,Stayed the Same,Increased,Maintaining sufficient cash flow or managing debt,None of the Above,Waiting for approval or submitting application,Yes,12 months or more,Yes,Chinese,No,Yes,"No, but our business is considering it","NA",Yes,1,1,5
10295,1912,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Cost of delivery and take out,CEBA,"NA",Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
10306,1916,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Other,CERS,"NA",Yes,1 month to less than 3 months,Yes,Chinese,No,No,"NA","NA",Yes,1,1,4
10307,1911,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Rising cost of inputs,Other,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10310,1991,Stayed the Same,Increased,Decreased,Increased,Increased,Government regulations,Temporary 10% Wage Subsidy,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10311,2004,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Stayed the Same,Shortage of labour force,Other,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10313,1968,Increased,Increased,Decreased,Increased,Decreased,"NA",Other,"NA",No,Not considering permanent closure or bankrupcy,Yes,Black,Yes,Yes,Yes,"NA",Yes,1,1,4
10317,2000,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Recruiting and training skilled employees,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,12 months or more,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,11
10321,2018,Decreased,Decreased,Decreased,Increased,Decreased,Cost of delivery and take out,None of the Above,Unable to fill out application,No,12 months or more,Yes,Multiple Visible Minority,No,Yes,Yes,"NA",Yes,1,1,8
10328,1979,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Maintaining sufficient cash flow or managing debt,"Provincial, Territorial or Municipal Government Programs","NA",No,6 months to less than 12 months,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,3
10330,1973,Decreased,Stayed the Same,Stayed the Same,Decreased,Decreased,Government regulations,Other,"NA",Yes,12 months or more,No,"NA",No,Yes,"No, but our business used to use it",I don't understand how these platforms work,Yes,1,1,6
10340,1955,Increased,Stayed the Same,Decreased,Increased,Decreased,Shortage of labour force,CEWS,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10343,1947,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,"NA","Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,2
10353,1929,Stayed the Same,Decreased,Decreased,Increased,Decreased,Cost of insurance,Regional Relief and Recovery Fund,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
10355,1986,Stayed the Same,Decreased,Stayed the Same,Decreased,Decreased,Supply chain challenges,None of the Above,Waiting for approval or submitting application,Don't Know,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,1,1
10359,2006,Decreased,Stayed the Same,Increased,Decreased,Stayed the Same,Other,None of the Above,Did not meet eligibility requirements,No,12 months or more,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,8
10360,1927,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of insurance,Other,"NA",Yes,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,1,0
10363,1975,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Increased,Insufficent and/or fluctuating customer demand,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10367,1978,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Government regulations,CERS,"NA",Yes,3 months to less than 6 months,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,14
10370,1915,Stayed the Same,Increased,Decreased,Decreased,Decreased,Government regulations,Temporary 10% Wage Subsidy,"NA",Don't Know,1 month to less than 3 months,No,"NA",Yes,No,"NA","NA",Yes,1,1,6
10379,2015,Stayed the Same,Decreased,Increased,Decreased,Decreased,Maintaining sufficient cash flow or managing debt,Financial Institution (Term Loan or Line-of-Credit,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
10382,1986,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Recruiting and training skilled employees,Loan from Family or Friends,"NA",Yes,Less than 1 month,No,"NA",Yes,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,11
10388,1933,Decreased,Stayed the Same,Decreased,Increased,Stayed the Same,Shortage of space and equipment,Financial Institution (Term Loan or Line-of-Credit,"NA",No,3 months to less than 6 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,5
10389,1966,Stayed the Same,Decreased,Decreased,Increased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,1,5
10396,1968,Decreased,Stayed the Same,Decreased,Decreased,Decreased,Increasing competition,Temporary 10% Wage Subsidy,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10397,1948,Increased,Stayed the Same,Decreased,Increased,Decreased,Insufficent and/or fluctuating customer demand,None of the Above,Funding or credit not needed,Don't Know,1 month to less than 3 months,Yes,Arab,No,Yes,Yes,"NA",Yes,1,1,6
10408,1988,Decreased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,CECRA,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10413,1985,Decreased,Increased,Decreased,Increased,Increased,Rent expenses,CEBA,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
10416,1954,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,Temporary 10% Wage Subsidy,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
10420,1952,Increased,Increased,Stayed the Same,Increased,Decreased,Maintaining sufficient cash flow or managing debt,None of the Above,Did not meet eligibility requirements,Don't Know,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,1,0
10423,1906,Decreased,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Cost of delivery and take out,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,8
10440,1914,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Rising cost of inputs,"Provincial, Territorial or Municipal Government Programs","NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
10458,1995,Stayed the Same,Decreased,Decreased,Stayed the Same,Decreased,Government regulations,CEWS,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,0
10459,2003,Increased,Increased,Decreased,Increased,Stayed the Same,Shortage of labour force,Loan from Family or Friends,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10461,1929,Increased,Decreased,Decreased,Increased,Decreased,Cost of delivery and take out,Loan from Family or Friends,"NA",No,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,1,3
10465,1949,Stayed the Same,Increased,Decreased,Stayed the Same,Decreased,Rent expenses,CEBA,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10466,1936,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Recruiting and training skilled employees,None of the Above,Unable to fill out application,No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
10468,2000,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Other,None of the Above,Did not meet eligibility requirements,Don't Know,Don't Know,No,"NA",Yes,Yes,"No, but our business is considering it","NA",Yes,1,1,6
10472,1988,Stayed the Same,Decreased,Decreased,Decreased,Stayed the Same,Shortage of space and equipment,Temporary 10% Wage Subsidy,"NA",Yes,1 month to less than 3 months,Yes,Chinese,No,No,"NA","NA",Yes,1,1,1
10481,2002,Stayed the Same,Decreased,Decreased,Stayed the Same,Increased,Government regulations,Loan from Family or Friends,"NA",No,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,7
10488,1949,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Government regulations,CEBA,"NA",Yes,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,1,7
10490,1955,Stayed the Same,Increased,Decreased,Increased,Increased,Government regulations,Regional Relief and Recovery Fund,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10500,1945,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Increasing competition,CEBA,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
10501,2000,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,"NA",Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,1 month to less than 3 months,Yes,Chinese,No,No,"NA","NA",Yes,1,1,7
10509,1980,Increased,Stayed the Same,Decreased,Increased,Increased,Cost of delivery and take out,Regional Relief and Recovery Fund,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
10515,1938,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Increased,Shortage of labour force,"Provincial, Territorial or Municipal Government Programs","NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,12
10518,1912,Stayed the Same,Increased,Decreased,Decreased,Decreased,High speed internet,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,Less than 1 month,Yes,West Asian,No,Yes,Yes,"NA",Yes,1,1,6
10521,1935,Stayed the Same,Decreased,Decreased,Increased,Decreased,Insufficent and/or fluctuating customer demand,CEWS,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,2
10526,1935,Decreased,Increased,Stayed the Same,Increased,Decreased,"NA",Temporary 10% Wage Subsidy,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
10529,1953,Decreased,Stayed the Same,Increased,Increased,Decreased,Recruiting and training skilled employees,Regional Relief and Recovery Fund,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10530,2008,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,High speed internet,Temporary 10% Wage Subsidy,"NA",No,1 month to less than 3 months,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,5
10531,1914,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,High speed internet,Other,"NA",Yes,Don't Know,No,"NA",No,Yes,Yes,"NA",No,1,1,6
10536,1922,Decreased,Decreased,Decreased,Stayed the Same,Decreased,High speed internet,None of the Above,Waiting for approval or submitting application,No,6 months to less than 12 months,No,"NA",Yes,No,"NA","NA",Yes,1,1,1
10540,1967,Increased,Stayed the Same,Decreased,Decreased,Decreased,Government regulations,Other,"NA",No,12 months or more,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,3
10547,1977,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Shortage of labour force,Other,"NA",Don't Know,Less than 1 month,Yes,Southeast Asian,Yes,Yes,Yes,"NA",Yes,1,1,6
10548,1901,Stayed the Same,Increased,Decreased,Increased,Decreased,Government regulations,Loan from Family or Friends,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10551,1977,Increased,Stayed the Same,Increased,Stayed the Same,Stayed the Same,Recruiting and training skilled employees,CECRA,"NA",Yes,Don't Know,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,5
10553,1907,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Government regulations,Temporary 10% Wage Subsidy,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,1,9
10554,2003,Increased,Stayed the Same,Stayed the Same,Increased,Decreased,Insufficent and/or fluctuating customer demand,None of the Above,Did not meet eligibility requirements,Don't Know,Not considering permanent closure or bankrupcy,Yes,Chinese,Yes,Yes,Yes,"NA",Yes,1,1,0
10561,1904,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,"NA",CECRA,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10564,1934,Stayed the Same,Stayed the Same,Increased,Increased,Increased,Increasing competition,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,12 months or more,Yes,South Asian,No,No,"NA","NA",Yes,1,1,2
10568,2004,Increased,Stayed the Same,Decreased,Increased,Decreased,Insufficent and/or fluctuating customer demand,Loan from Family or Friends,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10578,1906,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,2
10582,1942,Decreased,Stayed the Same,Stayed the Same,Increased,Decreased,Rising cost of inputs,None of the Above,Waiting for approval or submitting application,Don't Know,Not considering permanent closure or bankrupcy,Yes,Black,Yes,No,"NA","NA",Yes,1,1,8
10583,1954,Stayed the Same,Decreased,Decreased,Decreased,Decreased,Maintaining sufficient cash flow or managing debt,CEBA,"NA",No,Don't Know,Yes,Black,No,No,"NA","NA",Yes,1,1,5
10584,1966,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Supply chain challenges,Temporary 10% Wage Subsidy,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,"No, but our business used to use it",I don't trust these platforms,Yes,1,1,8
10588,1967,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Rising cost of inputs,Temporary 10% Wage Subsidy,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
10590,1999,Decreased,Stayed the Same,Decreased,Increased,Decreased,Shortage of space and equipment,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,1 month to less than 3 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,2
10603,1987,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Increased,"NA",Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
10604,1900,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Recruiting and training skilled employees,Regional Relief and Recovery Fund,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
10605,2008,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Shortage of space and equipment,Regional Relief and Recovery Fund,"NA",Don't Know,1 month to less than 3 months,Yes,Arab,No,Yes,Yes,"NA",Yes,1,1,8
10617,1981,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Shortage of space and equipment,"Provincial, Territorial or Municipal Government Programs","NA",No,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,1,9
10619,1963,Stayed the Same,Increased,Increased,Increased,Decreased,Shortage of space and equipment,Other,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
10623,1972,Decreased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,CEWS,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,1,8
10633,1998,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of insurance,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
10636,1902,Decreased,Decreased,Increased,Increased,Decreased,Shortage of space and equipment,"Provincial, Territorial or Municipal Government Programs","NA",No,12 months or more,Yes,Multiple Visible Minority,No,Yes,Yes,"NA",Yes,1,1,5
10637,2007,Decreased,Increased,Increased,Increased,Decreased,Cost of insurance,Other,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
10640,1994,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Decreased,Rising cost of inputs,Other,"NA",No,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,1,5
10641,1956,Decreased,Decreased,Decreased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,Temporary 10% Wage Subsidy,"NA",Yes,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,1,7
10644,1908,Decreased,Stayed the Same,Decreased,Decreased,Decreased,Government regulations,Other,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
10646,1959,Stayed the Same,Stayed the Same,Increased,Decreased,Decreased,Rent expenses,Loan from Family or Friends,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,11
10652,2004,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Decreased,Cost of delivery and take out,"Provincial, Territorial or Municipal Government Programs","NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
10660,1901,Decreased,Stayed the Same,Stayed the Same,Increased,Decreased,"NA",Temporary 10% Wage Subsidy,"NA",Yes,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,10
10673,1930,Decreased,Stayed the Same,Decreased,Increased,Increased,Increasing competition,CEWS,"NA",Yes,1 month to less than 3 months,Yes,South Asian,No,No,"NA","NA",Yes,1,1,0
10677,1989,Stayed the Same,Increased,Decreased,Stayed the Same,Decreased,Increasing competition,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,12 months or more,No,"NA",No,Yes,"No, but our business used to use it",I don't understand how these platforms work,Yes,1,1,5
10680,2006,Stayed the Same,Increased,Decreased,Decreased,Stayed the Same,Cost of delivery and take out,Regional Relief and Recovery Fund,"NA",Don't Know,12 months or more,Yes,Japanese,No,Yes,Yes,"NA",Yes,1,1,13
10683,1928,Increased,Decreased,Decreased,Decreased,Decreased,Rent expenses,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
